agent_model,swm_model,goal_completion_score,episodes,partner_model
gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,6.19,100,GPT-4o
gpt-4.1-2025-04-14,o1-2024-12-17,6.55,100,GPT-4o
gpt-4.1-2025-04-14,o1-mini-2024-09-12,6.41,100,GPT-4o
gpt-4.1-2025-04-14,o3-2025-04-16,6.34,100,GPT-4o
gpt-4.1-2025-04-14,o3-mini-2025-01-31,6.80,100,GPT-4o
gpt-4.1-2025-04-14,together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,6.32,100,GPT-4o
gpt-4.1-2025-04-14,together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,6.44,100,GPT-4o
o1-2024-12-17,gpt-4.1-2025-04-14,6.69,100,GPT-4o
o1-2024-12-17,o1-2024-12-17,6.94,100,GPT-4o
o1-2024-12-17,o1-mini-2024-09-12,6.11,100,GPT-4o
o1-2024-12-17,o3-2025-04-16,7.22,100,GPT-4o
o1-2024-12-17,o3-mini-2025-01-31,6.35,100,GPT-4o
o1-2024-12-17,together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,6.46,100,GPT-4o
o1-2024-12-17,together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,6.68,100,GPT-4o
o1-mini-2024-09-12,gpt-4.1-2025-04-14,5.13,100,GPT-4o
o1-mini-2024-09-12,o1-2024-12-17,5.31,100,GPT-4o
o1-mini-2024-09-12,o1-mini-2024-09-12,5.37,100,GPT-4o
o1-mini-2024-09-12,o3-2025-04-16,5.61,100,GPT-4o
o1-mini-2024-09-12,o3-mini-2025-01-31,5.36,100,GPT-4o
o1-mini-2024-09-12,together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,4.86,100,GPT-4o
o1-mini-2024-09-12,together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,5.00,100,GPT-4o
o3-2025-04-16,gpt-4.1-2025-04-14,7.71,100,GPT-4o
o3-2025-04-16,o1-2024-12-17,8.13,100,GPT-4o
o3-2025-04-16,o1-mini-2024-09-12,7.86,100,GPT-4o
o3-2025-04-16,o3-2025-04-16,8.16,100,GPT-4o
o3-2025-04-16,o3-mini-2025-01-31,7.84,100,GPT-4o
o3-2025-04-16,together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,7.69,100,GPT-4o
o3-2025-04-16,together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,8.25,100,GPT-4o
o3-mini-2025-01-31,gpt-4.1-2025-04-14,6.08,100,GPT-4o
o3-mini-2025-01-31,o1-2024-12-17,5.92,100,GPT-4o
o3-mini-2025-01-31,o1-mini-2024-09-12,5.90,100,GPT-4o
o3-mini-2025-01-31,o3-2025-04-16,6.51,100,GPT-4o
o3-mini-2025-01-31,o3-mini-2025-01-31,6.07,100,GPT-4o
o3-mini-2025-01-31,together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,6.28,100,GPT-4o
o3-mini-2025-01-31,together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,5.56,100,GPT-4o
together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,gpt-4.1-2025-04-14,4.77,100,GPT-4o
together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,o1-2024-12-17,4.44,100,GPT-4o
together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,o1-mini-2024-09-12,4.96,100,GPT-4o
together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,o3-2025-04-16,5.42,100,GPT-4o
together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,o3-mini-2025-01-31,5.48,100,GPT-4o
together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,4.96,100,GPT-4o
together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,4.86,100,GPT-4o
together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,gpt-4.1-2025-04-14,4.55,100,GPT-4o
together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,o1-2024-12-17,5.11,100,GPT-4o
together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,o1-mini-2024-09-12,4.89,100,GPT-4o
together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,o3-2025-04-16,5.16,100,GPT-4o
together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,o3-mini-2025-01-31,5.09,100,GPT-4o
together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,4.76,100,GPT-4o
together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct,3.89,100,GPT-4o
