benchmark,model,condition,parser_model,accuracy
ToMi,DeepSeek-R1,CoT,,0.945
ToMi,DeepSeek-R1,S3AP+CoT,o3-2025-04-16,0.980
ParaToMi,DeepSeek-R1,CoT,,0.893
ParaToMi,DeepSeek-R1,S3AP+CoT,o3-2025-04-16,0.950
HiToM,DeepSeek-R1,CoT,,0.420
HiToM,DeepSeek-R1,S3AP+CoT,o3-2025-04-16,0.510
FANToM,DeepSeek-R1,CoT,,0.491
FANToM,DeepSeek-R1,S3AP+CoT,o3-2025-04-16,0.547
MMToM-QA,DeepSeek-R1,CoT,,0.374
MMToM-QA,DeepSeek-R1,S3AP+CoT,o3-2025-04-16,0.437
ToMi,Llama-4-Maverick,CoT,,0.655
ToMi,Llama-4-Maverick,S3AP+CoT,o3-2025-04-16,0.662
ParaToMi,Llama-4-Maverick,CoT,,0.740
ParaToMi,Llama-4-Maverick,S3AP+CoT,o3-2025-04-16,0.763
HiToM,Llama-4-Maverick,CoT,,0.720
HiToM,Llama-4-Maverick,S3AP+CoT,o3-2025-04-16,0.700
FANToM,Llama-4-Maverick,CoT,,0.264
FANToM,Llama-4-Maverick,S3AP+CoT,o3-2025-04-16,0.415
MMToM-QA,Llama-4-Maverick,CoT,,0.443
MMToM-QA,Llama-4-Maverick,S3AP+CoT,o3-2025-04-16,0.450
ToMi,GPT-4o,CoT,,0.813
ToMi,GPT-4o,S3AP+CoT,o3-2025-04-16,0.927
ParaToMi,GPT-4o,CoT,,0.818
ParaToMi,GPT-4o,S3AP+CoT,o3-2025-04-16,0.905
HiToM,GPT-4o,CoT,,0.660
HiToM,GPT-4o,S3AP+CoT,o3-2025-04-16,0.750
FANToM,GPT-4o,CoT,,0.396
FANToM,GPT-4o,S3AP+CoT,o3-2025-04-16,0.491
MMToM-QA,GPT-4o,CoT,,0.652
MMToM-QA,GPT-4o,S3AP+CoT,o3-2025-04-16,0.692
ToMi,GPT-4.1,CoT,,0.882
ToMi,GPT-4.1,S3AP+CoT,o3-2025-04-16,0.978
ParaToMi,GPT-4.1,CoT,,0.802
ParaToMi,GPT-4.1,S3AP+CoT,o3-2025-04-16,0.913
HiToM,GPT-4.1,CoT,,0.830
HiToM,GPT-4.1,S3AP+CoT,o3-2025-04-16,0.810
FANToM,GPT-4.1,CoT,,0.528
FANToM,GPT-4.1,S3AP+CoT,o3-2025-04-16,0.585
MMToM-QA,GPT-4.1,CoT,,0.586
MMToM-QA,GPT-4.1,S3AP+CoT,o3-2025-04-16,0.583
ToMi,o1,CoT,,0.952
ToMi,o1,S3AP+CoT,o3-2025-04-16,0.985
ParaToMi,o1,CoT,,0.835
ParaToMi,o1,S3AP+CoT,o3-2025-04-16,0.932
HiToM,o1,CoT,,0.870
HiToM,o1,S3AP+CoT,o3-2025-04-16,0.880
FANToM,o1,CoT,,0.415
FANToM,o1,S3AP+CoT,o3-2025-04-16,0.623
MMToM-QA,o1,CoT,,0.725
MMToM-QA,o1,S3AP+CoT,o3-2025-04-16,0.785
ToMi,o3-mini,CoT,,0.863
ToMi,o3-mini,S3AP+CoT,o3-2025-04-16,0.960
ParaToMi,o3-mini,CoT,,0.817
ParaToMi,o3-mini,S3AP+CoT,o3-2025-04-16,0.900
HiToM,o3-mini,CoT,,0.810
HiToM,o3-mini,S3AP+CoT,o3-2025-04-16,0.860
FANToM,o3-mini,CoT,,0.057
FANToM,o3-mini,S3AP+CoT,o3-2025-04-16,0.170
MMToM-QA,o3-mini,CoT,,0.493
MMToM-QA,o3-mini,S3AP+CoT,o3-2025-04-16,0.506
ToMi,o3,CoT,,0.998
ToMi,o3,S3AP+CoT,o3-2025-04-16,0.983
ParaToMi,o3,CoT,,0.955
ParaToMi,o3,S3AP+CoT,o3-2025-04-16,0.965
HiToM,o3,CoT,,0.930
HiToM,o3,S3AP+CoT,o3-2025-04-16,0.910
FANToM,o3,CoT,,0.547
FANToM,o3,S3AP+CoT,o3-2025-04-16,0.642
MMToM-QA,o3,CoT,,0.715
MMToM-QA,o3,S3AP+CoT,o3-2025-04-16,0.735
